fullName,country,eu_group_1,id,nation_group,term,eu_group_2,start_period_1,gender
Magdalena ADAMOWICZ,Poland,Group of the European People's Party (Christian Democrats),197490,Independent,2019-2024,None,07-2019,female
Asim ADEMOV,Bulgaria,Group of the European People's Party (Christian Democrats),189525,Citizens for European Development of Bulgaria,2019-2024,None,07-2019,male
Isabella ADINOLFI,Italy,Group of the European People's Party (Christian Democrats),124831,Forza Italia,2019-2024,None,07-2019,female
Matteo ADINOLFI,Italy,Identity and Democracy Group,197826,Lega,2019-2024,None,07-2019,male
Alex AGIUS SALIBA,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197403,Partit Laburista,2019-2024,None,07-2019,male
Clara AGUILERA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125045,Partido Socialista Obrero Español,2019-2024,None,07-2019,female
Alviina ALAMETSÄ,Finland,Group of the Greens/European Free Alliance,204335,Vihreä liitto,2019-2024,None,07-2019,female
João ALBUQUERQUE,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,237224,Partido Socialista,2019-2024,None,07-2019,male
Alexander ALEXANDROV YORDANOV,Bulgaria,Group of the European People's Party (Christian Democrats),197836,Union of Democratic Forces,2019-2024,None,07-2019,male
François ALFONSI,France,Group of the Greens/European Free Alliance,96750,Régions et Peuples Solidaires,2019-2024,None,07-2019,male
Abir AL-SAHLANI,Sweden,Renew Europe Group,197400,Centerpartiet,2019-2024,None,07-2019,female
Álvaro AMARO,Portugal,Group of the European People's Party (Christian Democrats),197746,Partido Social Democrata,2019-2024,None,07-2019,male
Andris AMERIKS,Latvia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197783,Gods kalpot Rīgai,2019-2024,None,07-2019,male
Christine ANDERSON,Germany,Identity and Democracy Group,197475,Alternative für Deutschland,2019-2024,None,07-2019,female
Rasmus ANDRESEN,Germany,Group of the Greens/European Free Alliance,197448,Bündnis 90/Die Grünen,2019-2024,None,07-2019,male
Barry ANDREWS,Ireland,Renew Europe Group,204332,Fianna Fáil Party,2019-2024,None,07-2019,male
Eric ANDRIEU,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,113892,Parti socialiste,2019-2024,None,07-2019,male
Mathilde ANDROUËT,France,Identity and Democracy Group,197691,Rassemblement national,2019-2024,None,07-2019,female
Nikos ANDROULAKIS,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125110,PASOK-KINAL,2019-2024,None,07-2019,male
Marc ANGEL,Luxembourg,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,202073,Parti ouvrier socialiste luxembourgeois,2019-2024,None,07-2019,male
Gerolf ANNEMANS,Belgium,Identity and Democracy Group,124973,Vlaams Belang,2019-2024,None,07-2019,male
Andrus ANSIP,Estonia,Renew Europe Group,124696,Eesti Reformierakond,2019-2024,None,07-2019,male
Attila ARA-KOVÁCS,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197587,Demokratikus Koalíció,2019-2024,None,07-2019,male
Maria ARENA,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124936,Parti Socialiste,2019-2024,None,07-2019,female
Pablo ARIAS ECHEVERRÍA,Spain,Group of the European People's Party (Christian Democrats),96808,Partido Popular,2019-2024,None,07-2019,male
Pascal ARIMONT,Belgium,Group of the European People's Party (Christian Democrats),24922,Christlich Soziale Partei,2019-2024,None,07-2019,male
Bartosz ARŁUKOWICZ,Poland,Group of the European People's Party (Christian Democrats),197492,Platforma Obywatelska,2019-2024,None,07-2019,male
Konstantinos ARVANITIS,Greece,The Left group in the European Parliament - GUE/NGL,197701,Coalition of the Radical Left,2019-2024,None,07-2019,male
Anna-Michelle ASIMAKOPOULOU,Greece,Group of the European People's Party (Christian Democrats),197695,Nea Demokratia,2019-2024,None,07-2019,female
Manon AUBRY,France,The Left group in the European Parliament - GUE/NGL,197533,La France Insoumise,2019-2024,None,07-2019,female
Margrete AUKEN,Denmark,Group of the Greens/European Free Alliance,28161,Socialistisk Folkeparti,2019-2024,None,07-2019,female
Petras AUŠTREVIČIUS,Lithuania,Renew Europe Group,124766,Lietuvos Respublikos liberalų sąjūdis,2019-2024,None,07-2019,male
Carmen AVRAM,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197651,Partidul Social Democrat,2019-2024,None,07-2019,female
Malik AZMANI,Netherlands,Renew Europe Group,197781,Volkspartij voor Vrijheid en Democratie,2019-2024,None,07-2019,male
Simona BALDASSARRE,Italy,Identity and Democracy Group,197789,Lega,2019-2024,None,07-2019,female
Marek Paweł BALT,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197495,Nowa Lewica,2019-2024,None,07-2019,male
Jordan BARDELLA,France,Identity and Democracy Group,131580,Rassemblement national,2019-2024,None,07-2019,male
Katarina BARLEY,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197433,Sozialdemokratische Partei Deutschlands,2019-2024,None,07-2019,female
Pietro BARTOLO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197808,Partito Democratico,2019-2024,None,07-2019,male
Traian BĂSESCU,Romania,Group of the European People's Party (Christian Democrats),197671,Partidul Mișcarea Populară,2019-2024,None,07-2019,male
Alessandra BASSO,Italy,Identity and Democracy Group,197610,Lega,2019-2024,None,07-2019,female
José Ramón BAUZÁ DÍAZ,Spain,Renew Europe Group,197779,Ciudadanos – Partido de la Ciudadanía,2019-2024,None,07-2019,male
Nicolas BAY,France,Non-attached Members,124760,Reconquête!,2019-2024,None,07-2019,male
Gunnar BECK,Germany,Identity and Democracy Group,132191,Alternative für Deutschland,2019-2024,None,07-2019,male
Nicola BEER,Germany,Renew Europe Group,197437,Freie Demokratische Partei,2019-2024,None,07-2019,male
Tiziana BEGHIN,Italy,Non-attached Members,124777,Movimento 5 Stelle,2019-2024,None,07-2019,female
Aurélia BEIGNEUX,France,Identity and Democracy Group,197680,Rassemblement national,2019-2024,None,07-2019,female
Marek BELKA,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197496,Nowa Lewica,2019-2024,None,07-2019,male
François-Xavier BELLAMY,France,Group of the European People's Party (Christian Democrats),197534,Les Républicains,2019-2024,None,07-2019,male
Brando BENIFEI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124867,Partito Democratico,2019-2024,None,07-2019,male
Isabel BENJUMEA BENJUMEA,Spain,Group of the European People's Party (Christian Democrats),197679,Partido Popular,2019-2024,None,07-2019,female
Monika BEŇOVÁ,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,23868,SMER-Sociálna demokracia,2019-2024,None,07-2019,female
Hildegard BENTELE,Germany,Group of the European People's Party (Christian Democrats),197408,Christlich Demokratische Union Deutschlands,2019-2024,None,07-2019,female
Tom BERENDSEN,Netherlands,Group of the European People's Party (Christian Democrats),197778,Christen Democratisch Appèl,2019-2024,None,07-2019,male
Lars Patrick BERG,Germany,European Conservatives and Reformists Group,197478,Bündnis Deutschland,2019-2024,None,07-2019,male
Stefan BERGER,Germany,Group of the European People's Party (Christian Democrats),197410,Christlich Demokratische Union Deutschlands,2019-2024,None,07-2019,male
Erik BERGKVIST,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197396,Arbetarepartiet- Socialdemokraterna,2019-2024,None,07-2019,male
Sergio BERLATO,Italy,European Conservatives and Reformists Group,4746,Fratelli d'Italia,2019-2024,None,07-2019,male
Alexander BERNHUBER,Austria,Group of the European People's Party (Christian Democrats),197648,Österreichische Volkspartei,2019-2024,None,07-2019,male
Robert BIEDROŃ,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197498,Nowa Lewica,2019-2024,None,07-2019,male
Adam BIELAN,Poland,European Conservatives and Reformists Group,23788,Partia Republikańska,2019-2024,None,07-2019,male
Stéphane BIJOUX,France,Renew Europe Group,197551,La République en marche,2019-2024,None,07-2019,male
Izaskun BILBAO BARANDICA,Spain,Renew Europe Group,96922,Partido Nacionalista Vasco,2019-2024,None,07-2019,female
Vladimír BILČÍK,Slovakia,Group of the European People's Party (Christian Democrats),197771,Slovakia – Demokrati,2019-2024,None,07-2019,male
Dominique BILDE,France,Identity and Democracy Group,124771,Rassemblement national,2019-2024,None,07-2019,male
Gabriele BISCHOFF,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197435,Sozialdemokratische Partei Deutschlands,2019-2024,None,07-2019,male
Benoît BITEAU,France,Group of the Greens/European Free Alliance,197512,Europe Écologie,2019-2024,None,07-2019,male
Malin BJÖRK,Sweden,The Left group in the European Parliament - GUE/NGL,124992,Vänsterpartiet,2019-2024,None,07-2019,female
Vasile BLAGA,Romania,Group of the European People's Party (Christian Democrats),197637,Partidul Naţional Liberal,2019-2024,None,07-2019,male
Hynek BLAŠKO,Czechia,Identity and Democracy Group,197564,Svoboda a přímá demokracie,2019-2024,None,07-2019,male
Vilija BLINKEVIČIŪTĖ,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96681,Lietuvos socialdemokratų partija,2019-2024,None,07-2019,female
Michael BLOSS,Germany,Group of the Greens/European Free Alliance,197449,Bündnis 90/Die Grünen,2019-2024,None,07-2019,male
Andrea BOCSKOR,Hungary,Non-attached Members,124712,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,2019-2024,None,07-2019,female
Damian BOESELAGER,Germany,Group of the Greens/European Free Alliance,197439,Volt,2019-2024,None,07-2019,male
Franc BOGOVIČ,Slovenia,Group of the European People's Party (Christian Democrats),125004,Slovenska ljudska stranka,2019-2024,None,07-2019,male
Anna BONFRISCO,Italy,Identity and Democracy Group,197788,Lega,2019-2024,None,07-2019,female
Paolo BORCHIA,Italy,Identity and Democracy Group,101039,Lega,2019-2024,None,07-2019,male
Biljana BORZAN,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,112748,Socijaldemokratska partija Hrvatske,2019-2024,None,07-2019,female
Marc BOTENGA,Belgium,The Left group in the European Parliament - GUE/NGL,187917,Parti du Travail de Belgique,2019-2024,None,07-2019,male
Vlad-Marius BOTOŞ,Romania,Renew Europe Group,197668,Uniunea Salvați România,2019-2024,None,07-2019,male
Geert BOURGEOIS,Belgium,European Conservatives and Reformists Group,197467,Nieuw-Vlaamse Alliantie,2019-2024,None,07-2019,male
Gilles BOYER,France,Renew Europe Group,197577,Horizons,2019-2024,None,07-2019,male
Karolin BRAUNSBERGER-REINHOLD,Germany,Group of the European People's Party (Christian Democrats),226260,Christlich Demokratische Union Deutschlands,2019-2024,None,07-2019,female
Patrick BREYER,Germany,Group of the Greens/European Free Alliance,197431,Piratenpartei Deutschland,2019-2024,None,07-2019,male
Milan BRGLEZ,Slovenia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197446,Socialni demokrati,2019-2024,None,07-2019,male
Saskia BRICMONT,Belgium,Group of the Greens/European Free Alliance,197470,Ecologistes Confédérés pour l'Organisation de Luttes Originales,2019-2024,None,07-2019,female
Joachim Stanisław BRUDZIŃSKI,Poland,European Conservatives and Reformists Group,197501,Prawo i Sprawiedliwość,2019-2024,None,07-2019,male
Annika BRUNA,France,Identity and Democracy Group,182995,Rassemblement national,2019-2024,None,07-2019,female
Sylvie BRUNET,France,Renew Europe Group,197576,Mouvement Démocrate,2019-2024,None,07-2019,female
Markus BUCHHEIT,Germany,Identity and Democracy Group,128483,Alternative für Deutschland,2019-2024,None,07-2019,male
Daniel BUDA,Romania,Group of the European People's Party (Christian Democrats),125012,Partidul Naţional Liberal,2019-2024,None,07-2019,male
Udo BULLMANN,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,4267,Sozialdemokratische Partei Deutschlands,2019-2024,None,07-2019,male
Delara BURKHARDT,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197440,Sozialdemokratische Partei Deutschlands,2019-2024,None,07-2019,female
Martin BUSCHMANN,Germany,Non-attached Members,197434,Independent,2019-2024,None,07-2019,male
Cristian-Silviu BUŞOI,Romania,Group of the European People's Party (Christian Democrats),38420,Partidul Naţional Liberal,2019-2024,None,07-2019,male
Reinhard BÜTIKOFER,Germany,Group of the Greens/European Free Alliance,96739,Bündnis 90/Die Grünen,2019-2024,None,07-2019,male
Jorge BUXADÉ VILLALBA,Spain,European Conservatives and Reformists Group,197829,VOX,2019-2024,None,07-2019,male
Jerzy BUZEK,Poland,Group of the European People's Party (Christian Democrats),28269,Platforma Obywatelska,2019-2024,None,07-2019,male
Marco CAMPOMENOSI,Italy,Identity and Democracy Group,35016,Lega,2019-2024,None,07-2019,male
Jordi CAÑAS,Spain,Renew Europe Group,126644,Ciudadanos – Partido de la Ciudadanía,2019-2024,None,07-2019,male
Pascal CANFIN,France,Renew Europe Group,96711,Liste Renaissance,2019-2024,None,07-2019,male
Damien CARÊME,France,Group of the Greens/European Free Alliance,197574,Europe Écologie,2019-2024,None,07-2019,male
Isabel CARVALHAIS,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,199996,Partido Socialista,2019-2024,None,07-2019,female
Maria da Graça CARVALHO,Portugal,Group of the European People's Party (Christian Democrats),96867,Partido Social Democrata,2019-2024,None,07-2019,female
David CASA,Malta,Group of the European People's Party (Christian Democrats),28122,Partit Nazzjonalista,2019-2024,None,07-2019,male
Massimo CASANOVA,Italy,Identity and Democracy Group,197796,Lega,2019-2024,None,07-2019,male
Daniel CASPARY,Germany,Group of the European People's Party (Christian Democrats),28219,Christlich Demokratische Union Deutschlands,2019-2024,None,07-2019,male
Fabio Massimo CASTALDO,Italy,Non-attached Members,124812,Movimento 5 Stelle,2019-2024,None,07-2019,male
Pilar del CASTILLO VERA,Spain,Group of the European People's Party (Christian Democrats),28390,Partido Popular,2019-2024,None,07-2019,female
Anna CAVAZZINI,Germany,Group of the Greens/European Free Alliance,86793,Bündnis 90/Die Grünen,2019-2024,None,07-2019,female
Susanna CECCARDI,Italy,Identity and Democracy Group,197786,Lega,2019-2024,None,07-2019,female
Sara CERDAS,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197641,Partido Socialista,2019-2024,None,07-2019,female
Catherine CHABAUD,France,Renew Europe Group,197505,Mouvement Démocrate,2019-2024,None,07-2019,female
Patricia CHAGNON,France,Identity and Democracy Group,236052,Rassemblement national,2019-2024,None,07-2019,female
Mohammed CHAHIM,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197782,Partij van de Arbeid,2019-2024,None,07-2019,male
Leila CHAIBI,France,The Left group in the European Parliament - GUE/NGL,197529,La France Insoumise,2019-2024,None,07-2019,female
Dita CHARANZOVÁ,Czechia,Renew Europe Group,124708,ANO 2011,2019-2024,None,07-2019,female
Olivier CHASTEL,Belgium,Renew Europe Group,197463,Mouvement Réformateur,2019-2024,None,07-2019,male
Caterina CHINNICI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124861,Partito Democratico,2019-2024,None,07-2019,female
Asger CHRISTENSEN,Denmark,Renew Europe Group,197558,"Venstre, Danmarks Liberale Parti",2019-2024,None,07-2019,male
Ilana CICUREL,France,Renew Europe Group,204416,Liste Renaissance,2019-2024,None,07-2019,female
Włodzimierz CIMOSZEWICZ,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197507,Sojusz Lewicy Demokratycznej - Unia Pracy,2019-2024,None,07-2019,male
Angelo CIOCCA,Italy,Identity and Democracy Group,183793,Lega,2019-2024,None,07-2019,male
Dacian CIOLOŞ,Romania,Renew Europe Group,197631,Reînnoim Proiectul European al României,2019-2024,None,07-2019,male
Tudor CIUHODARU,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197657,Partidul Social Democrat,2019-2024,None,07-2019,male
Deirdre CLUNE,Ireland,Group of the European People's Party (Christian Democrats),124988,Fine Gael Party,2019-2024,None,07-2019,female
Nathalie COLIN-OESTERLÉ,France,Group of the European People's Party (Christian Democrats),197536,Les centristes,2019-2024,None,07-2019,female
Gilbert COLLARD,France,Non-attached Members,197683,Reconquête!,2019-2024,None,07-2019,male
Lara COMI,Italy,Group of the European People's Party (Christian Democrats),96775,Forza Italia,2019-2024,None,07-2019,female
Antoni COMÍN I OLIVERES,Spain,Non-attached Members,202352,Junts per Catalunya - Lliures per Europa,2019-2024,None,07-2019,male
Rosanna CONTE,Italy,Identity and Democracy Group,197616,Lega,2019-2024,None,07-2019,female
David CORMAND,France,Group of the Greens/European Free Alliance,197503,Europe Écologie,2019-2024,None,07-2019,male
Ignazio CORRAO,Italy,Group of the Greens/European Free Alliance,124856,Independent,2019-2024,None,07-2019,male
Beatrice COVASSI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,240478,Partito Democratico,2019-2024,None,07-2019,female
Andrea COZZOLINO,Italy,Non-attached Members,96880,Partito Democratico,2019-2024,None,07-2019,female
Corina CREȚU,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,33997,PRO Romania,2019-2024,None,07-2019,female
Katalin CSEH,Hungary,Renew Europe Group,197588,Momentum,2019-2024,None,07-2019,female
Ciarán CUFFE,Ireland,Group of the Greens/European Free Alliance,197654,Green Party,2019-2024,None,07-2019,male
Josianne CUTAJAR,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197394,Partit Laburista,2019-2024,None,07-2019,female
Ryszard CZARNECKI,Poland,European Conservatives and Reformists Group,28372,Prawo i Sprawiedliwość,2019-2024,None,07-2019,male
Peter van DALEN,Netherlands,Group of the European People's Party (Christian Democrats),96809,ChristenUnie,2019-2024,None,07-2019,male
Jakop G. DALUNDE,Sweden,Group of the Greens/European Free Alliance,183338,Miljöpartiet de gröna,2019-2024,None,07-2019,male
Clare DALY,Ireland,The Left group in the European Parliament - GUE/NGL,197731,Independents for change,2019-2024,None,07-2019,female
Rosa D'AMATO,Italy,Group of the Greens/European Free Alliance,124835,Independent,2019-2024,None,07-2019,female
Arnaud DANJEAN,France,Group of the European People's Party (Christian Democrats),96747,Les Républicains,2019-2024,None,07-2019,male
Nicola DANTI,Italy,Renew Europe Group,124821,Azione - Italia Viva,2019-2024,None,07-2019,male
Maria Angela DANZÌ,Italy,Non-attached Members,239258,Movimento 5 Stelle,2019-2024,None,07-2019,female
Gianantonio DA RE,Italy,Identity and Democracy Group,197608,Lega,2019-2024,None,07-2019,male
Marie DAUCHY,France,Identity and Democracy Group,236050,Rassemblement national,2019-2024,None,07-2019,female
Ivan DAVID,Czechia,Identity and Democracy Group,197556,Svoboda a přímá demokracie,2019-2024,None,07-2019,male
Elisabetta DE BLASIS,Italy,Identity and Democracy Group,239262,Lega,2019-2024,None,07-2019,female
Ilan DE BASSO,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,228604,Arbetarepartiet- Socialdemokraterna,2019-2024,None,07-2019,male
Paolo DE CASTRO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96891,Partito Democratico,2019-2024,None,07-2019,male
Jérémy DECERLE,France,Renew Europe Group,197504,Liste L'Europe Ensemble,2019-2024,None,07-2019,male
Gwendoline DELBOS-CORFIELD,France,Group of the Greens/European Free Alliance,197531,Europe Écologie,2019-2024,None,07-2019,female
Andor DELI,Hungary,Non-attached Members,124714,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,2019-2024,None,07-2019,male
Karima DELLI,France,Group of the Greens/European Free Alliance,96868,Europe Écologie,2019-2024,None,07-2019,female
Filip DE MAN,Belgium,Identity and Democracy Group,197472,Vlaams Belang,2019-2024,None,07-2019,male
Salvatore DE MEO,Italy,Group of the European People's Party (Christian Democrats),204333,Forza Italia,2019-2024,None,07-2019,male
Özlem DEMIREL,Germany,The Left group in the European Parliament - GUE/NGL,197468,DIE LINKE.,2019-2024,None,07-2019,female
Anna DEPARNAY-GRUNENBERG,Germany,Group of the Greens/European Free Alliance,197453,Bündnis 90/Die Grünen,2019-2024,None,07-2019,female
Tamás DEUTSCH,Hungary,Non-attached Members,96826,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,2019-2024,None,07-2019,male
Geoffroy DIDIER,France,Group of the European People's Party (Christian Democrats),190774,Les Républicains,2019-2024,None,07-2019,male
Martina DLABAJOVÁ,Czechia,Renew Europe Group,124709,ANO 2011,2019-2024,None,07-2019,female
Klára DOBREV,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197579,Demokratikus Koalíció,2019-2024,None,07-2019,female
Christian DOLESCHAL,Germany,Group of the European People's Party (Christian Democrats),197473,Christlich-Soziale Union in Bayern e.V.,2019-2024,None,07-2019,male
Anna Júlia DONÁTH,Hungary,Renew Europe Group,197595,Momentum,2019-2024,None,07-2019,female
Francesca DONATO,Italy,Non-attached Members,197822,Independent,2019-2024,None,07-2019,female
Herbert DORFMANN,Italy,Group of the European People's Party (Christian Democrats),96787,Südtiroler Volkspartei,2019-2024,None,07-2019,male
Jarosław DUDA,Poland,Group of the European People's Party (Christian Democrats),197510,Platforma Obywatelska,2019-2024,None,07-2019,male
Lena DÜPONT,Germany,Group of the European People's Party (Christian Democrats),99945,Christlich Demokratische Union Deutschlands,2019-2024,None,07-2019,female
Estrella DURÁ FERRANDIS,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,198329,Partido Socialista Obrero Español,2019-2024,None,07-2019,female
Pascal DURAND,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124693,Liste Renaissance,2019-2024,None,07-2019,male
Lucia ĎURIŠ NICHOLSONOVÁ,Slovakia,Renew Europe Group,197766,Independent,2019-2024,None,07-2019,female
Angel DZHAMBAZKI,Bulgaria,European Conservatives and Reformists Group,124873,VMRO,2019-2024,None,07-2019,male
Matthias ECKE,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,237465,Sozialdemokratische Partei Deutschlands,2019-2024,None,07-2019,male
Christian EHLER,Germany,Group of the European People's Party (Christian Democrats),28226,Christlich Demokratische Union Deutschlands,2019-2024,None,07-2019,male
Bas EICKHOUT,Netherlands,Group of the Greens/European Free Alliance,96725,GroenLinks,2019-2024,None,07-2019,female
Cyrus ENGERER,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,209091,Partit Laburista,2019-2024,None,07-2019,male
